Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit,Antal karakterer
4kløverskolen (Nyborg),3.51723747876448,3.48742866795367,3.63095238223938,3.90195055000001,2.94110372093024,6.7201685432258,775
Aabybro Skole (Jammerbugt),3.58316522416812,3.59617713508773,3.63640350877193,3.99333055263157,2.95584794736843,7.3954447,1150
Aakjærskolen (Skive),3.64387536129032,3.70430315584416,3.65483870967742,3.96272657419355,3.11606757419355,7.15827521145374,681
Aale Hjortsvang Skole (Hedensted),3.5715107,3.55555546666667,3.46666666666667,3.94333333333333,3.12539683333333,,
Aalestrup Skole (Vesthimmerlands),3.61075722764228,3.52886168292683,3.53861788617886,3.99722546341463,3.19183116260163,,
Aalykkeskolen (Kolding),3.59622012547529,3.56977930418251,3.65909090909091,3.92891544486692,3.09264731417625,7.28160671833333,600
Aars Skole (Vesthimmerlands),3.62124757843137,3.58982552459017,3.7275956295082,3.91722144078948,3.18113190163934,6.62569670720721,666
Aarupskolen (Assens),3.5458855,3.52543894326241,3.69237588652482,3.90026690035588,2.98738014487632,7.14948740717029,781
Absalons Skole (Roskilde),3.55611824936387,3.58832449360615,3.59505541432225,3.89552442025317,3.01311952295918,7.88875463354604,1097
Absalonskolen (Holbæk),3.47425820689655,3.53943065172414,3.68547453472222,3.6535344862069,3.02466633910034,6.21436545342311,891
Agedrup Skole (Odense),3.47462743307087,3.49573165354331,3.5902230984252,3.74524122440945,3.00195578968254,6.558829367713,669
Agerbæk Skole (Varde),3.52498346107785,3.50394440119761,3.45783730357143,3.91089487425149,3.02709751190476,6.55285007763975,644
Agerskov Skole (Tønder),3.1595345,3.2206546,3.23333335,3.2876389,2.8619048,5.32994717431193,109
Ahlmann-Skolen (Sønderborg),3.40375636764706,3.220107765625,3.75245098529412,3.73274410606061,2.99783226865672,7.21548019330856,269
Alkestrupskolen (Køge),3.75230874418605,3.73911946511628,3.77906976744186,4.07952195348837,3.28848295348837,,
Allerslev Skole (Lejre),3.57178175796178,3.60886607301588,3.6629392971246,3.91879566349207,2.98401033546326,8.21070148788927,867
Alminde-Viuf Fællesskole (Kolding),3.63955007067138,3.65395972084806,3.79564193286219,3.99772281272085,3.02221096819788,7.40439518717948,780
Alslev Skole (Varde),3.41018488709677,3.34040564516129,3.3991935483871,3.72405916129032,3.04592933870968,,
Amager Fælled Skole (København),3.48677523419204,3.51733290866512,3.58000782394366,3.80641025874126,2.93682387822015,6.50678707164179,670
Andst Børne- og Skolecenter (Vejen),3.558367125,3.278645875,3.90625,3.9493055625,3.1175595625,,
Anholt Skole (Norddjurs),3.794636,3.7738094,4.05,4.1177778,3.2142857,8.65546176470588,17
Anna Trolles Skole (Middelfart),3.34234733707865,3.35501595505618,3.52272727272727,3.61242197752809,2.84157303370787,6.60179345890411,438
Ans Skole (Silkeborg),3.53666640789474,3.53437336563877,3.70301027753304,3.84487957017544,2.99296202643172,6.91133866850829,543
Ansager Skole (Varde),3.50381240178571,3.41766401801802,3.51488095535714,3.7857886875,3.19610972321428,6.78725233846155,325
Ansgarskolen Vadehav (Esbjerg),3.61122334965035,3.5863708802817,3.70104895454545,3.97674409090909,3.06336673684211,7.09972425267666,467
Antvorskov Skole (Slagelse),3.50148518794326,3.55628402821871,3.56648936170213,3.88883069787986,2.85054553641209,7.02795414686472,1818
Arden Skole (Mariagerfjord),3.62110613103448,3.60291403125001,3.70328720069204,3.9485504329897,3.12424617301038,6.72463159636363,825
Arena Skole og Fritid (København),3.34913378571429,3.253543,3.51282053846154,3.48730164285714,3.19047628571429,,
Arenaskolen (Greve),3.55805235789474,3.54715282010583,3.64824561578947,3.81282178238342,3.13785459574468,5.81694787096775,279
Arnborg-Kølkær Skole (Herning),3.86081751785714,3.736394375,3.85267857142857,4.23859126785714,3.47142855357143,,
Artium Skole (Ikast-Brande),3.52151762096774,3.50033701881721,3.69272236927224,3.86314365517243,2.96077862972973,6.66910768239564,1102
Asaa Skole (Brønderslev),3.4613775,3.42675245833333,3.53985504347826,3.84702379166667,2.91587304166667,7.20112741052632,190
Asferg Skole (Randers),3.7222898,3.61592954285714,3.86428571428571,3.98907028571429,3.3755102,,
